,url,length_of_url,number_of_dots,number_of_hyphens_in_domain,length_of_directory,length_of_domain,words_in_domain,has_alexa_rank,country_code,words,length_of_largest_domain_token,length_of_largest_path_token,len_of_filename,num_dot_in_filename,num_delims_in_filename,length_of_arguments,length_of_largest_variable
3,http://9779.info/%E5%85%B3%E4%BA%8E%E6%8A%A4%E5%A3%AB%E7%9A%84%E5%89%AA%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,23.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
4,http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB%E6%88%BF%E5%AD%90/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,20.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
8,http://9779.info/%E5%85%AD%E4%B8%80%E5%84%BF%E7%AB%A5%E8%8A%82%E7%B2%98%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,22.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
9,http://9779.info/%E6%A0%91%E5%8F%B6%E7%AE%80%E5%8D%95%E7%B2%98%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,20.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
10,http://9779.info/%E5%B0%8F%E7%8F%AD%E5%88%9B%E6%84%8F%E6%92%95%E7%BA%B8%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,20.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
11,http://9779.info/%E5%85%B3%E4%BA%8E%E5%B7%A5%E4%BD%9C%E7%9A%84%E5%89%AA%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,22.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
12,http://9779.info/%E5%90%B8%E7%AE%A1%20%E5%89%AA%E8%B4%B4%E7%94%BB/,59.0,1.0,0.0,50.0,9.0,2.0,1.0,225.0,16.0,4.0,48.0,0.0,0.0,0.0,0.0,0.0
13,http://9779.info/%E5%BF%AB%E4%B9%90%E6%9A%91%E5%81%87%E7%9A%84%E5%89%AA%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,22.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
15,http://9779.info/%E6%88%91%E7%9A%84%E5%91%A8%E6%9C%AB%E5%89%AA%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,19.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
17,http://9779.info/%E7%B2%98%E8%B4%B4%E7%94%BB%E7%9A%B1%E7%BA%B9%E7%BA%B8%E5%9B%A2/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,18.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
18,http://9779.info/%E5%8D%A1%E7%BA%B8%E5%89%AA%E8%B4%B4%E7%94%BB/,56.0,1.0,0.0,47.0,9.0,2.0,1.0,225.0,15.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0
21,http://9779.info/%E5%8D%A1%E7%BA%B8%E7%AB%8B%E4%BD%93%E6%89%8B%E5%B7%A5%E7%B2%98%E8%B4%B4%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,24.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
22,http://9779.info/%E7%A2%8E%E5%B8%83%E5%A4%B4%E5%88%B6%E4%BD%9C%E8%B4%B4%E7%94%BB%E6%95%99%E7%A8%8B/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,24.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
27,http://9779.info/%E5%B9%BF%E5%91%8A%E5%92%8C%E6%8B%9B%E8%B4%B4%E7%94%BB%E5%84%BF%E7%AB%A5%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,21.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
29,http://9779.info/%E5%84%BF%E7%AB%A5%E5%A2%99%E4%B8%8A%E8%A3%85%E9%A5%B0%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,22.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
30,http://9779.info/%E7%8E%B0%E4%BB%A3%E6%8B%9B%E8%B4%B4%E7%94%BB%E8%AE%BE%E8%AE%A1/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,18.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
35,http://9779.info/%E5%85%B3%E4%BA%8E%E5%A4%A9%E6%B0%94%E7%9A%84%E5%89%AA%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,22.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
36,http://9779.info/%E5%B9%BC%E5%84%BF%E5%88%9B%E6%84%8F%E8%B1%86%E5%AD%90%E7%B2%98%E8%B4%B4%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,23.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
38,http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,56.0,1.0,0.0,47.0,9.0,2.0,1.0,225.0,16.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0
39,http://9779.info/%E5%8A%A8%E7%89%A9%E7%BA%B8%E7%BB%B3%E7%B2%98%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,18.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
40,http://9779.info/%E6%A0%91%E5%8F%B6%20%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87%E6%AC%A3%E8%B5%8F/,86.0,1.0,0.0,77.0,9.0,2.0,1.0,225.0,22.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0
41,http://9779.info/%E8%B1%86%E5%AD%90%E7%B2%98%E8%B4%B4%E7%94%BB/,56.0,1.0,0.0,47.0,9.0,2.0,1.0,225.0,15.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0
42,http://9779.info/%E5%90%91%E6%97%A5%E8%91%B5%E6%8B%BC%E8%B4%B4%E7%94%BB/,65.0,1.0,0.0,56.0,9.0,2.0,1.0,225.0,17.0,4.0,54.0,0.0,0.0,0.0,0.0,0.0
43,http://9779.info/%E7%BE%8E%E6%9C%AF%E9%B8%A1%E8%9B%8B%E7%B2%98%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,23.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
45,http://9779.info/%E5%B9%BC%E5%84%BF%E5%9B%AD%E7%AA%97%E6%88%B7%E5%8D%A1%E7%BA%B8%E8%B4%B4%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,24.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
47,http://9779.info/ppt%E5%89%AA%E8%B4%B4%E7%94%BB%20%E5%9B%A2%E9%98%9F/,62.0,1.0,0.0,53.0,9.0,2.0,1.0,225.0,18.0,4.0,51.0,0.0,0.0,0.0,0.0,0.0
48,http://9779.info/%E5%BD%A9%E7%BA%B8%E5%89%AA%E8%B4%B4%E7%94%BB%E8%8A%B1%E6%9C%B5%E5%9B%BE%E7%89%87/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,23.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
50,http://9779.info/%E7%AB%8B%E4%BD%93%E5%B8%83%E8%B4%B4%E7%94%BB%E4%BA%BA%E7%89%A9%E5%9B%BE%E7%89%87/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,22.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
54,http://9779.info/%E7%94%B5%E8%A7%86%E5%A2%99%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87%E6%AC%A3%E8%B5%8F/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,22.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
