,url,length_of_url,number_of_dots,number_of_hyphens_in_domain,length_of_directory,length_of_domain,words_in_domain,has_alexa_rank,country_code,words,length_of_largest_domain_token,length_of_largest_path_token,len_of_filename,num_dot_in_filename,num_delims_in_filename,length_of_arguments,length_of_largest_variable
0,http://minidvdsoft.com/flvtovideo/how_to_use_free_flash_flv_video_converter.html,73.0,2.0,0.0,12.0,15.0,2.0,0.0,225.0,6.0,11.0,10.0,46.0,1.0,7.0,0.0,0.0
3,http://9779.info/%E5%85%B3%E4%BA%8E%E6%8A%A4%E5%A3%AB%E7%9A%84%E5%89%AA%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,23.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
4,http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB%E6%88%BF%E5%AD%90/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,20.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
5,http://haishundl.com/a/qinpengqipaiguanfangxiazai/20131009/176.html,60.0,2.0,0.0,39.0,13.0,2.0,0.0,225.0,7.0,9.0,26.0,8.0,1.0,0.0,0.0,0.0
8,http://9779.info/%E5%85%AD%E4%B8%80%E5%84%BF%E7%AB%A5%E8%8A%82%E7%B2%98%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,22.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
9,http://amazon.co.uk/gp/redirect.html/ref=amb_link_18295865_6/202-2513040-1206232?location=http://www.amazon.co.uk/exec/obidos/tg/stores/static/-/dvd/search/&token=EDA85A835C0C35E68FBAFD33CEB75576E7B44F1F&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-1&pf_rd_r=1TQ741X1AF5VZGZZD0YR&pf_rd_t=101&pf_rd_p=132500991&pf_rd_i=655852,310.0,6.0,0.0,137.0,12.0,3.0,1.0,225.0,35.0,6.0,34.0,161.0,0.0,27.0,0.0,0.0
10,http://9779.info/%E6%A0%91%E5%8F%B6%E7%AE%80%E5%8D%95%E7%B2%98%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,20.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
11,http://9779.info/%E5%B0%8F%E7%8F%AD%E5%88%9B%E6%84%8F%E6%92%95%E7%BA%B8%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,20.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
12,http://9779.info/%E5%85%B3%E4%BA%8E%E5%B7%A5%E4%BD%9C%E7%9A%84%E5%89%AA%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,22.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
13,http://9779.info/%E5%90%B8%E7%AE%A1%20%E5%89%AA%E8%B4%B4%E7%94%BB/,59.0,1.0,0.0,50.0,9.0,2.0,1.0,225.0,16.0,4.0,48.0,0.0,0.0,0.0,0.0,0.0
