url|length_of_url|number_of_dots|number_of_hyphens_in_domain|length_of_directory|length_of_domain|words_in_domain|has_alexa_rank|country_code|words|length_of_largest_domain_token|length_of_largest_path_token|len_of_filename|num_dot_in_filename|num_delims_in_filename|length_of_arguments|length_of_largest_variable
http://minidvdsoft.com/flvtovideo/how_to_use_free_flash_flv_video_converter.html|73.0|2.0|0.0|12.0|15.0|2.0|0.0|225.0|6.0|11.0|10.0|46.0|1.0|7.0|0.0|0.0
http://hairclips.ru/modules/mod_helper/4933894976/login2491284/|56.0|1.0|0.0|44.0|12.0|2.0|0.0|248.0|7.0|9.0|12.0|0.0|0.0|0.0|0.0|0.0
http://lgjyxx.com/JS/?ref=http%3A%2F%2Fhigvuidus.battle.net%2Fd3%2Fen%2Findex|70.0|3.0|0.0|4.0|10.0|2.0|0.0|210.0|13.0|6.0|2.0|0.0|0.0|0.0|56.0|51.0
http://9779.info/%E5%85%B3%E4%BA%8E%E6%8A%A4%E5%A3%AB%E7%9A%84%E5%89%AA%E8%B4%B4%E7%94%BB/|83.0|1.0|0.0|74.0|9.0|2.0|1.0|225.0|23.0|4.0|72.0|0.0|0.0|0.0|0.0|0.0
http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB%E6%88%BF%E5%AD%90/|74.0|1.0|0.0|65.0|9.0|2.0|1.0|225.0|20.0|4.0|63.0|0.0|0.0|0.0|0.0|0.0
http://haishundl.com/a/qinpengqipaiguanfangxiazai/20131009/176.html|60.0|2.0|0.0|39.0|13.0|2.0|0.0|225.0|7.0|9.0|26.0|8.0|1.0|0.0|0.0|0.0
http://ads.guardian.co.uk/click.ng/Params.richmedia=yes&location=middle&spacedesc=05&site=Jobsadvice&navsection=8665&section=112987&country=ita&rand=0123123|149.0|5.0|0.0|10.0|18.0|4.0|0.0|77.0|24.0|8.0|8.0|121.0|1.0|15.0|0.0|0.0
http://ads.guardian.co.uk/click.ng/Params.richmedia=yes&location=top&spacedesc=banner&site=Politics&section=107979&country=ita&rand=5719123|132.0|5.0|0.0|10.0|18.0|4.0|0.0|77.0|22.0|8.0|8.0|104.0|1.0|13.0|0.0|0.0
http://9779.info/%E5%85%AD%E4%B8%80%E5%84%BF%E7%AB%A5%E8%8A%82%E7%B2%98%E8%B4%B4%E7%94%BB/|83.0|1.0|0.0|74.0|9.0|2.0|1.0|225.0|22.0|4.0|72.0|0.0|0.0|0.0|0.0|0.0
http://9779.info/%E6%A0%91%E5%8F%B6%E7%AE%80%E5%8D%95%E7%B2%98%E8%B4%B4%E7%94%BB/|74.0|1.0|0.0|65.0|9.0|2.0|1.0|225.0|20.0|4.0|63.0|0.0|0.0|0.0|0.0|0.0
http://9779.info/%E5%B0%8F%E7%8F%AD%E5%88%9B%E6%84%8F%E6%92%95%E7%BA%B8%E8%B4%B4%E7%94%BB/|83.0|1.0|0.0|74.0|9.0|2.0|1.0|225.0|20.0|4.0|72.0|0.0|0.0|0.0|0.0|0.0
http://9779.info/%E5%85%B3%E4%BA%8E%E5%B7%A5%E4%BD%9C%E7%9A%84%E5%89%AA%E8%B4%B4%E7%94%BB/|83.0|1.0|0.0|74.0|9.0|2.0|1.0|225.0|22.0|4.0|72.0|0.0|0.0|0.0|0.0|0.0
http://9779.info/%E5%90%B8%E7%AE%A1%20%E5%89%AA%E8%B4%B4%E7%94%BB/|59.0|1.0|0.0|50.0|9.0|2.0|1.0|225.0|16.0|4.0|48.0|0.0|0.0|0.0|0.0|0.0
http://9779.info/%E5%BF%AB%E4%B9%90%E6%9A%91%E5%81%87%E7%9A%84%E5%89%AA%E8%B4%B4%E7%94%BB/|83.0|1.0|0.0|74.0|9.0|2.0|1.0|225.0|22.0|4.0|72.0|0.0|0.0|0.0|0.0|0.0
http://bjpgqsc.com/jypt/class/?0.html&page=2&showtj=&showhot=&key=|59.0|2.0|0.0|12.0|11.0|2.0|0.0|225.0|10.0|7.0|5.0|0.0|0.0|0.0|36.0|1.0
http://9779.info/%E6%88%91%E7%9A%84%E5%91%A8%E6%9C%AB%E5%89%AA%E8%B4%B4%E7%94%BB/|74.0|1.0|0.0|65.0|9.0|2.0|1.0|225.0|19.0|4.0|63.0|0.0|0.0|0.0|0.0|0.0
http://5121188.com/yiyuanxiangguan/fukezhuanjia/20141020/272.html|58.0|2.0|0.0|39.0|11.0|2.0|0.0|248.0|8.0|7.0|15.0|8.0|1.0|0.0|0.0|0.0
http://9779.info/%E7%B2%98%E8%B4%B4%E7%94%BB%E7%9A%B1%E7%BA%B9%E7%BA%B8%E5%9B%A2/|74.0|1.0|0.0|65.0|9.0|2.0|1.0|225.0|18.0|4.0|63.0|0.0|0.0|0.0|0.0|0.0
http://9779.info/%E5%8D%A1%E7%BA%B8%E5%89%AA%E8%B4%B4%E7%94%BB/|56.0|1.0|0.0|47.0|9.0|2.0|1.0|225.0|15.0|4.0|45.0|0.0|0.0|0.0|0.0|0.0
http://ads.guardian.co.uk/click.ng/Params.richmedia=yes&location=top&spacedesc=banner&site=Politics&section=107979&country=ita&rand=1920123|132.0|5.0|0.0|10.0|18.0|4.0|0.0|77.0|22.0|8.0|8.0|104.0|1.0|13.0|0.0|0.0
http://3cf.ru/2015/07/21/otriad-korablei-vmf-rossii-zashel-v-port-ekvatorialnoi-gvinei/|80.0|1.0|0.0|74.0|6.0|2.0|0.0|248.0|14.0|3.0|61.0|0.0|0.0|0.0|0.0|0.0
http://9779.info/%E5%8D%A1%E7%BA%B8%E7%AB%8B%E4%BD%93%E6%89%8B%E5%B7%A5%E7%B2%98%E8%B4%B4%E7%94%BB/|92.0|1.0|0.0|83.0|9.0|2.0|1.0|225.0|24.0|4.0|81.0|0.0|0.0|0.0|0.0|0.0
