url| length_of_url| number_of_dots| suspicious_words| number_of_hyphens_in_domain| length_of_directory| number_subdirectories_in_url| length_of_domain| words_in_domain| path_tokens| url_contains_ip| has_alexa_rank| use_https| country_code| age | words|  entropy| special_chars |length_of_largest_domain_token| average_length_of_domain_tokens|length_of_largest_path_token| average_length_of_path_tokens| suspicious_tld_name| file_name_present| len_of_filename| num_dot_in_filename| num_delims_in_filename| args_present| length_of_arguments| number_of_argument_variables| length_of_largest_variable| maximum_number_of_delims in arguments| class
http://khabaronline.ir/Content/default/css?v=HX37pWJ9LdYcgVM1CyqhBKZYFzsVqxUhgrLvtfqWAok1|82|1|0|0|17|2|15|2|2|0|1|0|0|1|7|5.33361|1|12|7.0|7|7.0|0|1|3|0|0|1|47|1|44|0|benign
http://applerugs.co.uk/rugs/product_info.php?cPath=&products_id=385&osCsid=0a530e17ea959c39afe6ce5fbae147ec?cPath=1|108|3|0|0|6|1|15|3|1|0|0|0|0|1|12|4.89925|3|9|4.33|4|4.0|0|1|16|1|1|1|63|3|32|1|malicious
http://maybank2u.com.my/mbb_info/m2u/public/personalDetail04.do?channelId=Personal&cntTypeId=0&cntKey=OB013&programId=OB-OnlineBanking&chCatId=/mbb/Personal|149|3|1|0|125|5|16|3|5|0|1|0|0|1|19|4.9896|5|9|4.67|99|23.8|0|1|8|0|0|0|0|0|0|0|benign
http://mic.com/articles/118114/the-state-of-california-just-proved-how-important-kendrick-lamar-s-new-record-is|104|1|0|0|17|2|7|2|2|0|1|0|0|1|18|4.38911|1|3|3.0|8|7.0|0|1|80|0|13|0|0|0|0|0|benign
http://mashable.com/category/international-space-station/2015/03/25/inflatable-habitat-for-space|89|1|1|0|49|5|12|2|5|0|1|0|0|1|13|4.34318|1|8|5.5|27|8.6|0|1|28|0|3|0|0|0|0|0|benign
http://mydoc555.runawaypetroleum.com/upload.google.com|47|4|0|0|1|0|29|3|0|0|0|0|0|0|6|4.15403|1|16|9.0|0|0|0|1|17|2|0|0|0|0|0|0|malicious
http://abdn.ac.uk/socsci/publications/full_details.php?id=1262|55|3|0|0|21|2|10|3|2|0|1|0|0|1|10|4.41414|1|4|2.67|12|9.0|0|1|16|1|1|1|8|1|4|0|malicious
http://www.711100.com/app/member/SportOption.php?uid=guest&langx=gb|60|3|0|0|12|2|14|3|2|0|0|0|0|1|12|4.66086|2|6|4.0|6|4.5|0|1|15|1|0|1|19|2|5|0|malicious
http://archive.dissent.org.uk/index.php?option=com_content&task=view&id=143&Itemid=102|79|4|0|0|1|0|22|4|0|0|0|0|0|1|15|4.68018|4|7|4.75|0|0|0|1|9|1|0|1|47|4|11|1|malicious
http://aolshop.memberoffers.co.uk/csp/smp/aol/itementry3.csp?FS=E119&cat=AK&header=Kitchenware/index.csp?CSPCHD=00000001000131wjc9a4002574608762|137|5|0|0|62|4|26|4|4|0|0|0|0|0|18|5.13779|3|12|5.75|48|14.25|0|1|9|1|0|1|40|1|32|0|malicious
http://thenextweb.com/in/2014/11/13/uber-introduces-paytm-digital-wallet-payments-india-response-new-e-commerce-ruling/|112|1|1|0|98|5|14|2|5|0|1|0|0|1|18|4.4794|1|10|6.5|82|18.4|0|0|0|0|0|0|0|0|0|0|benign
http://emgn.com/entertainment/this-is-what-happens-when-you-take-your-kids-shopping-by-force-mayhem/|93|1|0|0|85|2|8|2|2|0|0|0|0|0|17|4.25517|1|4|3.5|69|41.0|0|0|0|0|0|0|0|0|0|0|benign
http://us.battle.net-wow-net.d3-account.net/battle_net_account.php?ref=https:/us.battle.net/account/management/index.xml&amp;app=bam|125|8|1|3|68|4|36|5|4|0|0|0|0|0|17|4.37672|4|11|6.4|33|15.75|0|1|21|1|2|0|0|0|0|0|malicious
http://aeplayamogan.org/components/com_media/images/CBIBSWeb.start.html|64|3|0|0|29|3|16|2|3|0|0|0|0|1|9|4.38674|1|12|7.5|10|8.33|0|1|19|2|0|0|0|0|0|0|malicious
http://pjhku.com/plugin.php?id=levsign&m=2&fh=6848d1f0&hook=1&mobile=no|64|2|0|0|1|0|9|2|0|0|0|0|0|1|12|4.72076|5|5|4.0|0|0|0|1|10|1|0|1|44|5|8|0|malicious
http://acard4u.co.uk/product_info.php?cPath=&products_id=1420|54|3|0|0|1|0|13|3|0|0|0|0|0|0|9|4.44547|2|7|3.67|0|0|0|1|16|1|1|1|24|2|4|1|malicious
http://mashable.com/people/55229c08519840114904cb2a/2015/05/07/john-wick-gta-5-trailer|79|1|1|0|44|5|12|2|5|0|1|0|0|1|12|4.64527|1|8|5.5|24|7.6|0|1|23|0|4|0|0|0|0|0|benign
http://archive.thisischeshire.co.uk/2000/6/28/221201.html|50|4|1|0|11|3|28|4|3|0|0|0|0|1|9|4.20317|1|14|6.25|4|2.33|0|1|11|1|0|0|0|0|0|0|malicious
http://wangqiao365.com/e/wap/show.php?classid=1&id=14&style=0&cpage=0&cid=1&bclassid=0|79|2|0|0|7|2|15|2|2|0|0|0|0|0|13|4.62831|6|11|7.0|3|2.0|0|1|8|1|0|1|49|6|2|0|malicious
http://archives.li.man.ac.uk/ead/search/?operation=summary&rsid=17773&firstrec=1&numreq=20&highlight=0&hitposition=5|109|4|0|0|12|2|21|5|2|0|0|0|0|1|17|4.7012|6|8|3.4|6|4.5|0|0|0|0|0|1|76|6|7|0|malicious
http://torcache.net/torrent/9DE8AD1D1B9E6881652FF74F5126FA0D57D6182C.torrent?title=[kickass.to]rey.2015.telugu.760mb.h264.zippymoviez.exclusive|136|9|0|0|9|1|12|2|1|0|1|0|0|1|15|5.09152|1|8|5.5|7|7.0|0|1|48|1|0|1|67|1|60|0|benign
http://astore.amazon.co.uk/allezvinsfrenchr/detail/0192854216/026-8324244-9330038|74|3|0|0|36|3|19|4|3|0|0|0|0|1|11|4.79347|1|6|4.0|16|10.67|0|1|19|0|2|0|0|0|0|0|malicious
http://akhbarelyom.com/news/newdetails/411524/1/%D9%88%D9%81%D8%A7%D8%A9-%D8%A7%D9%84%D9%82%D9%8A%D8%A7%D8%AF%D9%89.html|113|2|0|0|26|4|15|2|4|0|1|0|0|1|18|4.38301|23|11|7.0|10|5.25|0|1|72|1|1|0|0|0|0|0|benign
http://ap.org/Content/AP-In-The-News/2012/In-their-own-words-AP-journalists-discuss-their-Pulitzer-winning-work|104|1|0|0|29|3|6|2|3|0|1|0|0|1|16|4.53099|1|3|2.5|14|8.33|0|1|69|0|10|0|0|0|0|0|benign
http://worldoftanks.ru/auth/oid/new/?next=/ru/content/guide/newcomers-guide/%3Fpage%3D1|80|1|1|0|54|8|15|2|8|0|1|0|0|1|12|4.51827|3|12|7.0|15|5.62|0|1|11|0|0|0|0|0|0|0|benign
http://9779.info/%E5%89%AA%E8%B4%B4%E7%94%BB%E7%BA%BF%E6%8F%8F%E4%BD%9C%E5%93%81%E6%AC%A3%E8%B5%8F/|92|1|0|0|83|1|9|2|1|0|0|0|0|1|23|3.87739|28|4|4.0|81|81.0|0|0|0|0|0|0|0|0|0|0|malicious
http://web.de/magazine/unterhaltung/lifestyle/sexy-model-david-gandy-zeigt-badehosen-30635392|86|1|0|0|33|3|6|2|3|0|1|0|0|1|13|4.60111|1|3|2.5|12|9.67|0|1|47|0|6|0|0|0|0|0|benign
http://aolshop.memberoffers.co.uk/csp/smp/aol/itementry3.csp?FS=E179&cat=AK&header=Kitchenware/updated2.csp?STNO=ST0093662&Qty=1&CSPCHD=00000001000231035ut0001199933941|161|5|1|0|62|4|26|4|4|0|0|0|0|0|21|5.13719|5|12|5.75|48|14.25|0|1|12|1|0|1|61|3|32|0|malicious
http://123-193-192-142.dynamic.kbronet.com.tw/common/apia/ric.php|58|5|0|3|13|2|38|5|2|0|0|0|0|1|13|4.4378|1|15|6.8|6|5.0|0|1|7|1|0|0|0|0|0|0|malicious
http://hotlinegsm.com/products/samsung-i9300-galaxy-s-iii-detail|57|1|0|0|10|1|14|2|1|0|0|0|0|0|9|4.41626|1|10|6.5|8|8.0|0|1|33|0|5|0|0|0|0|0|malicious
http://astore.amazon.co.uk/allezvinsfrenchr/detail/1853262692/026-8324244-9330038|74|3|0|0|36|3|19|4|3|0|0|0|0|1|11|4.77158|1|6|4.0|16|10.67|0|1|19|0|2|0|0|0|0|0|malicious
http://ap.org/Content/AP-In-The-News/2014/AP-names-Vaughn-Morrison-to-lead-US-video-production|87|1|0|0|29|3|6|2|3|0|1|0|0|1|16|4.68217|1|3|2.5|14|8.33|0|1|52|0|8|0|0|0|0|0|benign
