,url,length_of_url,number_of_dots,suspicious_words,number_of_hyphens_in_domain,length_of_directory,number_subdirectories_in_url,length_of_domain,words_in_domain,path_tokens,url_contains_ip,has_alexa_rank,use_https,country_code,age,words,entropy,special_chars,length_of_largest_domain_token,average_length_of_domain_tokens,length_of_largest_path_token,average_length_of_path_tokens,suspicious_tld_name,file_name_present,len_of_filename,num_dot_in_filename,num_delims_in_filename,args_present,length_of_arguments,number_of_argument_variables,length_of_largest_variable,maximum_number_of_delims_in_arguments,class
95,http://amazon.co.uk/gp/redirect.html/ref=amb_link_18295865_6/202-2513040-1206232?location=http://www.amazon.co.uk/exec/obidos/tg/stores/static/-/dvd/search/&token=EDA85A835C0C35E68FBAFD33CEB75576E7B44F1F&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-1&pf_rd_r=1TQ741X1AF5VZGZZD0YR&pf_rd_t=101&pf_rd_p=132500991&pf_rd_i=655852,310,6,1,0,137,14,12,3,14,0,1,0,225,1,35,5.47348,1,6,3.33,34,8.71,0,1,161,0,27,0,0,0,0,0,malicious
125,http://ancestry.co.uk/search/db.aspx?dbid=28596,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.56455,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
134,http://astore.amazon.co.uk/ukvisit-21/203-6933174-0803961?node=15&page=14,66,3,0,0,12,1,19,4,1,0,0,0,101,1,14,4.92093,1,6,4.0,10,10.0,0,1,19,0,2,1,16,2,2,0,malicious
202,http://astore.amazon.co.uk/allezvinsfrenchr/detail/1843532999/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.76069,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
273,http://astore.amazon.co.uk/ukvisit-21/detail/B00004KDBH/203-6933174-0803961,68,3,0,0,30,3,19,4,3,0,0,0,101,1,12,4.8349,1,6,4.0,10,8.67,0,1,19,0,2,0,0,0,0,0,malicious
375,http://amazon.co.uk/s/ref=amb_link_22202665_32/202-2513040-1206232?ie=UTF8&search-alias=kitchen&field-keywords=Vacuvin&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-11&pf_rd_r=1YJ25D88XYSF0G4PG77H&pf_rd_t=101&pf_rd_p=136376591&pf_rd_i=11052591,228,2,0,0,28,2,12,3,2,0,1,0,225,1,30,5.37145,1,6,3.33,24,12.5,0,1,19,0,2,1,169,9,20,2,malicious
416,http://astore.amazon.co.uk/allezvinsfrenchr/detail/1862056633/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.76069,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
517,http://ancestry.co.uk/search/db.aspx?dbid=15680,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.56455,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
609,http://amazon.co.uk/b/ref=amb_link_39721465_3/202-2513040-1206232?ie=UTF8&node=293663011&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=left-2&pf_rd_r=1MMWPFCWTCKJMZ5QZ297&pf_rd_t=101&pf_rd_p=138032391&pf_rd_i=11052591,195,2,0,0,27,2,12,3,2,0,1,0,101,1,25,5.25155,1,6,3.33,23,12.0,0,1,19,0,2,1,137,8,20,2,malicious
647,http://amazon.co.uk/b/ref=amb_link_36810965_26/202-2513040-1206232?ie=UTF8&node=577870&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=left-2&pf_rd_r=1VNB6GS8RA3B3YSX6SPW&pf_rd_t=101&pf_rd_p=138664391&pf_rd_i=16423401,193,2,0,0,28,2,12,3,2,0,1,0,225,1,25,5.30536,1,6,3.33,24,12.5,0,1,19,0,2,1,134,8,20,2,malicious
705,http://amazon.co.uk/s/ref=amb_link_38340765_10/202-2513040-1206232?ie=UTF8&search-alias=music&field-artist=beyonce&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-9&pf_rd_r=0AXF32ZAFNRTNZ8401Y3&pf_rd_t=101&pf_rd_p=137660691&pf_rd_i=229816,221,2,0,0,28,2,12,3,2,0,1,0,225,1,29,5.32,1,6,3.33,24,12.5,0,1,19,0,2,1,162,9,20,2,malicious
